Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,1.553000,1.779000,1.543000,1.654000,1.654000,0
2015-12-01,1.666000,1.829000,1.568000,1.758000,1.758000,0
2016-01-01,1.720000,1.740000,1.328000,1.335000,1.335000,0
2016-02-01,1.343000,1.383000,1.008000,1.220000,1.220000,0
2016-03-01,1.224000,1.534000,1.204000,1.224000,1.224000,0
2016-04-01,1.213000,1.405000,1.137000,1.279000,1.279000,0
2016-05-01,1.275000,1.422000,1.155000,1.359000,1.359000,0
2016-06-01,1.357000,1.390000,0.985000,1.011000,1.011000,0
2016-07-01,0.972000,1.169000,0.911000,1.033000,1.033000,0
2016-08-01,1.056000,1.241000,1.017000,1.180000,1.180000,0
2016-09-01,1.204000,1.270000,1.092000,1.156000,1.156000,0
2016-10-01,1.159000,1.368000,1.157000,1.313000,1.313000,0
2016-11-01,1.323000,1.882000,1.229000,1.834000,1.834000,0
2016-12-01,1.872000,2.119000,1.796000,1.934000,1.934000,0
2017-01-01,1.990000,2.017000,1.804000,1.908000,1.908000,0
2017-02-01,1.949000,2.020000,1.794000,1.880000,1.880000,0
2017-03-01,1.982000,2.138000,1.885000,1.929000,1.929000,0
2017-04-01,1.906000,1.926000,1.706000,1.816000,1.816000,0
2017-05-01,1.826000,1.951000,1.724000,1.748000,1.748000,0
2017-06-01,1.778000,1.885000,1.673000,1.885000,1.885000,0
2017-07-01,1.894000,1.968000,1.795000,1.832000,1.832000,0
2017-08-01,1.847000,1.857000,1.672000,1.707000,1.707000,0
2017-09-01,1.709000,1.939000,1.618000,1.928000,1.928000,0
2017-10-01,1.939000,2.089000,1.898000,2.010000,2.010000,0
2017-11-01,2.033000,2.156000,1.975000,2.144000,2.144000,0
2017-12-01,2.124000,2.261000,2.068000,2.206000,2.206000,0
2018-01-01,2.228000,2.551000,2.223000,2.524000,2.524000,0
2018-02-01,2.544000,2.682000,2.461000,2.650000,2.650000,0
2018-03-01,2.612000,2.734000,2.550000,2.562000,2.562000,0
2018-04-01,2.587000,2.852000,2.535000,2.789000,2.789000,0
2018-05-01,2.812000,2.941000,2.571000,2.664000,2.664000,0
2018-06-01,2.738000,2.869000,2.695000,2.731000,2.731000,0
2018-07-01,2.709000,2.867000,2.706000,2.848000,2.848000,0
2018-08-01,2.872000,2.887000,2.692000,2.735000,2.735000,0
2018-09-01,2.743000,2.990000,2.740000,2.948000,2.948000,0
2018-10-01,2.972000,3.092000,2.885000,2.987000,2.987000,0
2018-11-01,2.990000,3.095000,2.823000,2.845000,2.845000,0
2018-12-01,2.875000,2.875000,2.500000,2.510000,2.510000,0
2019-01-01,2.489000,2.635000,2.368000,2.440000,2.440000,0
2019-02-01,2.441000,2.545000,2.429000,2.509000,2.509000,0
